Species,Area,Units,Country,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
ALB,27.7.k_NK,TLW,GB,0,0,0,0,0,0,0,0,0,0
ALB,27.8.a,TLW,GB,0,0,0,0,0,0,0,3,3,0
ALB,27.8.c,TLW,GB,2.73,0,0,0,1,1,0,0,0,0
ALB,27.8.d,TLW,GB,4.81,0,4,21,2,5,10,27,14,16
ALB,27.8.d.1,TLW,GB,0.85,0,0,0,0,0,0,0,0,0
ALB,27.8.d.2,TLW,GB,3.96,0,4,21,2,5,10,27,14,0
ALB,27.8.d_NK,TLW,GB,0,0,0,0,0,0,0,0,0,16
ALB,27.8.e,TLW,GB,3.63,3,10,0,29,53,19,4,0,0
ALB,27.8.e.1,TLW,GB,3.63,3,10,0,25,44,0,0,0,0
ALB,27.8.e.2,TLW,GB,0,0,0,0,4,9,19,4,0,0
ALB,27.8.e_NK,TLW,GB,0,0,0,0,0,0,0,0,0,0
ALB,27.8_NK,TLW,GB,0,0,0,0,0,0,0,0,0,0
ALB,27.12,TLW,IE,735.13,453,0,0,0,0,113,0,0,0
ALB,27.6,TLW,IE,0,0,0,0,0,0,33,0,0,0
ALB,27.7,TLW,IE,1523.99,1826,1818,3469,3591,693,1810,1521,491,167
ALB,27.8,TLW,IE,67.95,7,9,202,7,94,42,1,66,355
ALB,27.9,TLW,IE,12,0,0,0,0,0,0,0,0,0
ALB,27,TLW,IE,2366.98,2485,2231,3672,3597,786,1997,1522,557,522
ALB,27.1,TLW,IE,27.92,199,404,0,0,0,0,0,0,0
ALB,27.10.b,TLW,IE,27.92,199,404,0,0,0,0,0,0,0
ALB,27.12.b,TLW,IE,0,58,0,0,0,0,0,0,0,0
ALB,27.12.c,TLW,IE,735.13,394,0,0,0,0,0,0,0,0
ALB,27.12_NK,TLW,IE,0,0,0,0,0,0,113,0,0,0
